 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
    48        0.320000 4292.0  1.5612788E+07          1.0200   0.11795000   0.05953000  0.5730760  5.4940E-001   0.010794
    49        0.320000 4298.0  1.5944943E+07          1.0200   0.11559000   0.06075000  0.5818199  5.5300E-001   0.010642
    50        0.320000 4304.0  1.6277098E+07          1.0200   0.11333000   0.06185000  0.5897801  5.5640E-001   0.010399
    51        0.320000 4310.0  1.6609254E+07          1.0100   0.11100000   0.06300000  0.5979447  5.5980E-001   0.010044
    52        0.320000 4317.0  1.6941409E+07          1.0100   0.10877000   0.06404000  0.6050078  5.6270E-001   0.009906
    53        0.320000 4324.0  1.7273564E+07          1.0000   0.10651000   0.06510000  0.6130405  5.6610E-001   0.009459
    54        0.320000 4332.0  1.7605719E+07          1.0000   0.10433000   0.06606000  0.6205114  5.6930E-001   0.009310
    55        0.320000 4339.0  1.7937875E+07          1.0000   0.10211000   0.06704000  0.6274854  5.7210E-001   0.009159
    56        0.320000 4347.0  1.8270030E+07          0.9900   0.09992000   0.06798000  0.6343723  5.7490E-001   0.008739
    57        0.320000 4355.0  1.8602185E+07          0.9900   0.09780000   0.06883000  0.6417236  5.7810E-001   0.008582
    58        0.320000 4363.0  1.8934341E+07          0.9900   0.09565000   0.06971000  0.6499871  5.8200E-001   0.008407
    59        0.320000 4373.0  1.9266496E+07          0.9900   0.09353000   0.07052000  0.6549185  5.8340E-001   0.008273
    60        0.320000 4382.0  1.9598651E+07          0.9800   0.09147000   0.07128000  0.6617795  5.8630E-001   0.007867
    61        0.320000 4391.0  1.9930807E+07          0.9800   0.08939000   0.07204000  0.6682049  5.8900E-001   0.007715
    62        0.320000 4401.0  2.0262962E+07          0.9800   0.08736000   0.07272000  0.6741485  5.9130E-001   0.007565
    63        0.320000 4412.0  2.0595117E+07          0.9800   0.08530000   0.07342000  0.6803892  5.9390E-001   0.007410
    64        0.330000 4423.0  2.0927272E+07          0.9700   0.08328000   0.07404000  0.6865557  5.9650E-001   0.007033
    65        0.330000 4434.0  2.1259428E+07          0.9700   0.08136000   0.07458000  0.6925735  5.9900E-001   0.006881
    66        0.330000 4446.0  2.1591583E+07          0.9700   0.07933000   0.07520000  0.6980713  6.0130E-001   0.006739
    67        0.330000 4458.0  2.1923738E+07          0.9700   0.07743000   0.07570000  0.7039406  6.0370E-001   0.006584
    68        0.340000 4472.0  2.2255894E+07          0.9700   0.07552000   0.07618000  0.7091412  6.0590E-001   0.006446
    69        0.340000 4484.0  2.2588049E+07          0.9700   0.07368000   0.07661000  0.7148619  6.0830E-001   0.006291
    70        0.340000 4498.0  2.2920204E+07          0.9600   0.07183000   0.07704000  0.7199139  6.1040E-001   0.005962
    71        0.340000 4513.0  2.3252360E+07          0.9600   0.07005000   0.07739000  0.7248916  6.1240E-001   0.005826
    72        0.350000 4527.0  2.3584515E+07          0.9600   0.06827000   0.07772000  0.7303894  6.1480E-001   0.005676
    73        0.350000 4542.0  2.3916670E+07          0.9600   0.06654000   0.07802000  0.7352186  6.1690E-001   0.005542
    74        0.360000 4557.0  2.4248826E+07          0.9600   0.06484000   0.07829000  0.7399734  6.1890E-001   0.005407
    75        0.360000 4573.0  2.4580981E+07          0.9600   0.06317000   0.07851000  0.7445054  6.2080E-001   0.005276
    76        0.360000 4589.0  2.4913136E+07          0.9600   0.06154000   0.07871000  0.7490374  6.2280E-001   0.005146
    77        0.370000 4606.0  2.5245291E+07          0.9600   0.05995000   0.07888000  0.7534207  6.2470E-001   0.004945
    78        0.370000 4623.0  2.5577447E+07          0.9500   0.05839000   0.07900000  0.7578784  6.2670E-001   0.004735
    79        0.380000 4641.0  2.5909602E+07          0.9500   0.05683000   0.07913000  0.7615931  6.2830E-001   0.004628
    80        0.380000 4658.0  2.6241757E+07          0.9500   0.05535000   0.07919000  0.7656793  6.3010E-001   0.004508
    81        0.390000 4676.0  2.6573913E+07          0.9500   0.05387000   0.07924000  0.7697655  6.3200E-001   0.004389
    82        0.390000 4694.0  2.6906068E+07          0.9500   0.05241000   0.07928000  0.7737031  6.3380E-001   0.004272
    83        0.400000 4712.0  2.7238223E+07          0.9500   0.05100000   0.07928000  0.7775664  6.3560E-001   0.004157
    84        0.400000 4731.0  2.7570379E+07          0.9500   0.04962000   0.07925000  0.7809097  6.3710E-001   0.004056
    85        0.410000 4750.0  2.7902534E+07          0.9500   0.04825000   0.07921000  0.7846244  6.3890E-001   0.003943
    86        0.410000 4769.0  2.8234689E+07          0.9500   0.04693000   0.07914000  0.7881906  6.4070E-001   0.003835
    87        0.420000 4788.0  2.8566844E+07          0.9400   0.04563000   0.07906000  0.7916824  6.4240E-001   0.003611
    88        0.430000 4807.0  2.8899000E+07          0.9400   0.04435000   0.07896000  0.7950814  6.4410E-001   0.003510
    89        0.430000 4827.0  2.9231155E+07          0.9400   0.04311000   0.07882000  0.7979974  6.4560E-001   0.003422
    90        0.440000 4845.0  2.9563310E+07          0.9400   0.04187000   0.07870000  0.8012478  6.4730E-001   0.003323
    91        0.440000 4865.0  2.9895466E+07          0.9400   0.04067000   0.07854000  0.8043868  6.4900E-001   0.003228
    92        0.450000 4885.0  3.0227621E+07          0.9400   0.03949000   0.07837000  0.8074003  6.5060E-001   0.003136
    93        0.460000 4904.0  3.0559776E+07          0.9400   0.03834000   0.07818000  0.8103117  6.5220E-001   0.003046
    94        0.460000 4925.0  3.0891932E+07          0.9400   0.03722000   0.07797000  0.8131535  6.5390E-001   0.002958
    95        0.470000 4944.0  3.1224087E+07          0.9400   0.03611000   0.07776000  0.8161996  6.5570E-001   0.002864
    96        0.480000 4965.0  3.1556242E+07          0.9400   0.03502000   0.07754000  0.8188339  6.5720E-001   0.002781
    97        0.480000 4985.0  3.1888397E+07          0.9400   0.03395000   0.07730000  0.8214255  6.5890E-001   0.002650
    98        0.490000 5005.0  3.2220553E+07          0.9300   0.03292000   0.07704000  0.8241078  6.6060E-001   0.002533
    99        0.500000 5025.0  3.2552708E+07          0.9300   0.03190000   0.07680000  0.8267020  6.6230E-001   0.002453
   100        0.500000 5045.0  3.2884863E+07          0.9300   0.03091000   0.07652000  0.8291715  6.6400E-001   0.002377
   101        0.510000 5065.0  3.3217019E+07          0.9300   0.02995000   0.07626000  0.8315172  6.6560E-001   0.002305
   102        0.520000 5085.0  3.3549174E+07          0.9300   0.02901000   0.07598000  0.8338885  6.6730E-001   0.002231
   103        0.530000 5105.0  3.3881329E+07          0.9300   0.02809000   0.07570000  0.8361477  6.6900E-001   0.002160
   104        0.530000 5125.0  3.4213485E+07          0.9300   0.02719000   0.07542000  0.8382911  6.7070E-001   0.002093
   105        0.540000 5144.0  3.4545640E+07          0.9300   0.02632000   0.07515000  0.8405503  6.7240E-001   0.002022
   106        0.550000 5164.0  3.4877795E+07          0.9200   0.02549000   0.07486000  0.8424916  6.7410E-001   0.001898
   107        0.550000 5183.0  3.5209950E+07          0.9200   0.02467000   0.07459000  0.8445855  6.7590E-001   0.001834
   108        0.560000 5202.0  3.5542106E+07          0.9200   0.02389000   0.07432000  0.8464109  6.7750E-001   0.001777
   109        0.560000 5220.0  3.5874261E+07          0.9200   0.02313000   0.07407000  0.8483014  6.7940E-001   0.001719
   110        0.570000 5238.0  3.6206416E+07          0.9200   0.02240000   0.07382000  0.8500562  6.8110E-001   0.001665
   111        0.580000 5256.0  3.6538572E+07          0.9200   0.02172000   0.07359000  0.8517347  6.8280E-001   0.001612
   112        0.580000 5273.0  3.6870727E+07          0.9200   0.02104000   0.07340000  0.8533489  6.8450E-001   0.001525
   113        0.580000 5289.0  3.7202882E+07          0.9100   0.02041000   0.07321000  0.8549187  6.8630E-001   0.001464
   114        0.590000 5304.0  3.7535038E+07          0.9100   0.01981000   0.07307000  0.8563635  6.8800E-001   0.001420
   115        0.590000 5319.0  3.7867193E+07          0.9100   0.01925000   0.07296000  0.8576983  6.8970E-001   0.001379
   116        0.600000 5332.0  3.8199348E+07          0.9100   0.01875000   0.07286000  0.8589566  6.9130E-001   0.001340
   117        0.600000 5345.0  3.8531504E+07          0.9000   0.01824000   0.07285000  0.8601488  6.9310E-001   0.001261
   118        0.600000 5356.0  3.8863659E+07          0.9000   0.01780000   0.07286000  0.8612021  6.9460E-001   0.001230
   119        0.600000 5367.0  3.9195814E+07          0.9000   0.01739000   0.07293000  0.8621952  6.9620E-001   0.001200
   120        0.600000 5376.0  3.9527969E+07          0.8900   0.01702000   0.07304000  0.8630807  6.9780E-001   0.001135
   121        0.600000 5383.0  3.9860125E+07          0.8900   0.01669000   0.07320000  0.8638992  6.9930E-001   0.001112
   122        0.590000 5389.0  4.0192280E+07          0.8900   0.01641000   0.07341000  0.8646124  7.0080E-001   0.001091
   123        0.590000 5395.0  4.0524435E+07          0.8800   0.01615000   0.07367000  0.8652558  7.0220E-001   0.001037
   124        0.590000 5398.0  4.0856591E+07          0.8800   0.01593000   0.07396000  0.8657922  7.0350E-001   0.001022
   125        0.580000 5401.0  4.1188746E+07          0.8700   0.01574000   0.07430000  0.8662885  7.0480E-001   0.000974
   126        0.580000 5403.0  4.1520901E+07          0.8700   0.01558000   0.07466000  0.8667153  7.0610E-001   0.000963
   127        0.570000 5404.0  4.1853057E+07          0.8700   0.01544000   0.07503000  0.8670302  7.0710E-001   0.000954
   128        0.570000 5404.0  4.2185212E+07          0.8600   0.01534000   0.07542000  0.8673374  7.0820E-001   0.000914
   129        0.560000 5403.0  4.2517367E+07          0.8600   0.01525000   0.07582000  0.8675880  7.0930E-001   0.000907
   130        0.560000 5402.0  4.2849522E+07          0.8500   0.01516000   0.07625000  0.8678127  7.1030E-001   0.000870
   131        0.550000 5400.0  4.3181678E+07          0.8500   0.01510000   0.07668000  0.8679893  7.1120E-001   0.000866
   132        0.540000 5397.0  4.3513833E+07          0.8400   0.01505000   0.07711000  0.8681446  7.1220E-001   0.000832
   133        0.540000 5394.0  4.3845988E+07          0.8400   0.01502000   0.07751000  0.8682533  7.1290E-001   0.000830
   134        0.530000 5391.0  4.4178144E+07          0.8400   0.01501000   0.07789000  0.8683292  7.1370E-001   0.000828
   135        0.530000 5388.0  4.4510299E+07          0.8300   0.01499000   0.07829000  0.8683830  7.1430E-001   0.000797
   136        0.520000 5384.0  4.4842454E+07          0.8300   0.01499000   0.07867000  0.8684226  7.1500E-001   0.000797
   137        0.510000 5381.0  4.5174610E+07          0.8300   0.01500000   0.07904000  0.8684482  7.1560E-001   0.000796
   138        0.510000 5377.0  4.5506765E+07          0.8200   0.01500000   0.07940000  0.8684523  7.1610E-001   0.000768
   139        0.500000 5373.0  4.5838920E+07          0.8200   0.01502000   0.07975000  0.8684482  7.1660E-001   0.000768
   140        0.500000 5369.0  4.6171075E+07          0.8200   0.01504000   0.08009000  0.8684288  7.1710E-001   0.000769
   141        0.490000 5364.0  4.6503231E+07          0.8200   0.01507000   0.08041000  0.8683986  7.1760E-001   0.000769
   142        0.490000 5360.0  4.6835386E+07          0.8100   0.01510000   0.08072000  0.8683611  7.1800E-001   0.000743
   143        0.490000 5356.0  4.7167541E+07          0.8100   0.01513000   0.08102000  0.8683190  7.1840E-001   0.000744
   144        0.480000 5352.0  4.7499697E+07          0.8100   0.01517000   0.08130000  0.8682730  7.1870E-001   0.000745
   145        0.480000 5348.0  4.7831852E+07          0.8100   0.01520000   0.08156000  0.8682057  7.1900E-001   0.000746
   146        0.470000 5344.0  4.8164007E+07          0.8000   0.01525000   0.08180000  0.8681432  7.1930E-001   0.000721
   147        0.470000 5340.0  4.8496163E+07          0.8000   0.01527000   0.08204000  0.8680847  7.1950E-001   0.000722
   148        0.470000 5337.0  4.8828318E+07          0.8000   0.01531000   0.08227000  0.8680114  7.1970E-001   0.000724
   149        0.460000 5333.0  4.9160473E+07          0.8000   0.01535000   0.08247000  0.8679385  7.1990E-001   0.000725
   150        0.460000 5330.0  4.9492628E+07          0.8000   0.01540000   0.08265000  0.8678682  7.2010E-001   0.000727
   151        0.460000 5327.0  4.9824784E+07          0.8000   0.01543000   0.08284000  0.8678048  7.2030E-001   0.000728
   152        0.460000 5324.0  5.0156939E+07          0.8000   0.01546000   0.08301000  0.8677527  7.2050E-001   0.000729
   154        0.450000 5318.0  5.0821250E+07          0.7900   0.01554000   0.08330000  0.8675857  7.2060E-001   0.000706
   155        0.450000 5315.0  5.1153405E+07          0.7900   0.01558000   0.08343000  0.8675124  7.2070E-001   0.000708
   156        0.450000 5313.0  5.1485560E+07          0.7900   0.01561000   0.08356000  0.8674539  7.2080E-001   0.000709
   158        0.450000 5308.0  5.2149871E+07          0.7900   0.01568000   0.08377000  0.8673061  7.2090E-001   0.000712
   164        0.440000 5297.0  5.4142803E+07          0.7900   0.01586000   0.08424000  0.8669620  7.2100E-001   0.000720
   165        0.440000 5296.0  5.4474958E+07          0.7900   0.01589000   0.08429000  0.8668810  7.2090E-001   0.000721
   166        0.440000 5294.0  5.4807113E+07          0.7900   0.01591000   0.08435000  0.8668329  7.2100E-001   0.000722
   167        0.440000 5293.0  5.5139269E+07          0.7900   0.01594000   0.08439000  0.8667727  7.2090E-001   0.000724
   170        0.440000 5289.0  5.6135735E+07          0.7900   0.01601000   0.08451000  0.8666227  7.2080E-001   0.000727
   173        0.430000 5287.0  5.7132200E+07          0.7900   0.01608000   0.08458000  0.8664801  7.2070E-001   0.000730
   174        0.430000 5286.0  5.7464356E+07          0.7900   0.01609000   0.08461000  0.8664588  7.2080E-001   0.000731
   175        0.430000 5285.0  5.7796511E+07          0.7900   0.01612000   0.08463000  0.8663915  7.2060E-001   0.000732
   178        0.430000 5283.0  5.8792977E+07          0.7900   0.01616000   0.08467000  0.8662796  7.2050E-001   0.000734
