 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Rsol 1/Qs Mstar Indice_BGM
0.865
   42   0.505234 5298.6  4.6680920E+07  0.8438   0.01656247   0.07533105  0.8308236  7.0482E-001   0.000717     0.8650    33220
   43   0.492537 5303.8  4.7816976E+07  0.8321   0.01613194   0.07633929  0.8318996  7.0804E-001   0.000595     0.8650    33220
   44   0.480203 5300.1  4.8953104E+07  0.8213   0.01587272   0.07750916  0.8325967  7.1088E-001   0.000493     0.8650    33220
   45   0.464909 5290.2  5.0089216E+07  0.8108   0.01574503   0.07876741  0.8329867  7.1329E-001   0.000402     0.8650    33220
   46   0.446811 5278.5  5.1225308E+07  0.8005   0.01572199   0.08002079  0.8331615  7.1541E-001   0.000320     0.8650    33220
   47   0.434949 5265.2  5.2361464E+07  0.7918   0.01577000   0.08120047  0.8331472  7.1710E-001   0.000255     0.8650    33220
   48   0.420430 5252.2  5.3497556E+07  0.7875   0.01587391   0.08225418  0.8330187  7.1845E-001   0.000223     0.8650    33220
   49   0.409889 5235.9  5.4633640E+07  0.7790   0.01600847   0.08315172  0.8328234  7.1945E-001   0.000169     0.8650    33220
   50   0.401242 5224.6  5.5769780E+07  0.7722   0.01614430   0.08389164  0.8325903  7.2019E-001   0.000130     0.8650    33220
   51   0.391823 5211.9  5.6905924E+07  0.7712   0.01628278   0.08447488  0.8323426  7.2065E-001   0.000124     0.8650    33220
   52   0.384868 5203.1  5.8041944E+07  0.7683   0.01640916   0.08492100  0.8321073  7.2095E-001   0.000109     0.8650    33220
   53   0.383843 5198.6  5.9178096E+07  0.7630   0.01652192   0.08524942  0.8318882  7.2111E-001   0.000084     0.8650    33220
   54   0.379429 5189.2  6.0314168E+07  0.7618   0.01661788   0.08549371  0.8317035  7.2119E-001   0.000079     0.8650    33220
   55   0.375598 5186.4  6.1450320E+07  0.7617   0.01670432   0.08566079  0.8315219  7.2114E-001   0.000078     0.8650    33220
   56   0.374335 5180.3  6.2586432E+07  0.7602   0.01678319   0.08577602  0.8313728  7.2108E-001   0.000072     0.8650    33220
   57   0.373019 5179.6  6.3722552E+07  0.7602   0.01684696   0.08585905  0.8312388  7.2098E-001   0.000073     0.8650    33220
   58   0.373019 5178.8  6.4858640E+07  0.7602   0.01690363   0.08590876  0.8311105  7.2085E-001   0.000074     0.8650    33220
   59   0.373019 5174.0  6.5994768E+07  0.7603   0.01695191   0.08594380  0.8310035  7.2074E-001   0.000075     0.8650    33220
   60   0.373019 5173.5  6.7130816E+07  0.7620   0.01699910   0.08596554  0.8308969  7.2057E-001   0.000083     0.8650    33220
   61   0.373019 5168.4  6.8266936E+07  0.7620   0.01704483   0.08597417  0.8308084  7.2044E-001   0.000084     0.8650    33220
   62   0.373019 5168.4  6.9403072E+07  0.7620   0.01708060   0.08597805  0.8307225  7.2031E-001   0.000084     0.8650    33220
   63   0.373019 5168.4  7.0539136E+07  0.7621   0.01711677   0.08597530  0.8306418  7.2018E-001   0.000086     0.8650    33220
   64   0.373019 5168.4  7.1675232E+07  0.7637   0.01714600   0.08597320  0.8305681  7.2004E-001   0.000094     0.8650    33220
   65   0.373019 5168.4  7.2811384E+07  0.7637   0.01717754   0.08596228  0.8305105  7.1997E-001   0.000094     0.8650    33220
   66   0.373019 5168.4  7.3947448E+07  0.7637   0.01720389   0.08595061  0.8304366  7.1982E-001   0.000095     0.8650    33220
   67   0.373019 5168.4  7.5083592E+07  0.7637   0.01723482   0.08593851  0.8303771  7.1967E-001   0.000096     0.8650    33220
   68   0.373019 5168.4  7.6219696E+07  0.7640   0.01725648   0.08592619  0.8303264  7.1960E-001   0.000098     0.8650    33220
   69   0.373019 5167.4  7.7355744E+07  0.7640   0.01727719   0.08591156  0.8302749  7.1945E-001   0.000099     0.8650    33220
   70   0.373019 5166.9  7.8491840E+07  0.7640   0.01729813   0.08589247  0.8302318  7.1938E-001   0.000099     0.8650    33220
   71   0.373019 5166.9  7.9628000E+07  0.7640   0.01732314   0.08586895  0.8301806  7.1928E-001   0.000100     0.8650    33220
